numero_siafi;codigo_orgao;unidade_orcamentaria_nome;ano_empenho;numero_empenho;data_registro_doc_empenho;elemento_despesa_codigo;elemento_despesa_descricao;item_despesa_codigo;item_despesa_descricao;fonte_recurso_codigo;fonte_recurso_descricao;razao_social_proponente;cnpj_proponente;valor_pago_financeiro
743675;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1127;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JOAO NAVES DE AVILA;19.921.493/0001-20;140571,0
743676;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1116;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC SANTA LUZIA;20.736.393/0001-03;85611,0
743677;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;1118;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC  UBERLANDIA;19.928.670/0001-09;96064,0
743678;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;23;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DR JOSE MARTINS BORGES;22.237.598/0001-70;47079,08
743679;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;4;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC BAIRRO JARDIM EUROPA;19.651.959/0001-15;40920,0
743680;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;410;2026-04-15;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC JOSE TAFURI;19.490.382/0001-07;31126,0
743681;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;75;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC LEOLINO PEREIRA DA SILVA;21.357.439/0001-46;74319,39
743682;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;4;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DOROTHEU DE ARAUJO CARNEIRO;21.375.746/0001-50;37909,0
743683;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;21;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC DAVID ROCHA DE ABREU SANTOS;19.801.752/0001-80;70582,58
743684;1261;SECRETARIA DE ESTADO DE EDUCACAO;2026;65;2026-02-02;43;SUBVENCOES SOCIAIS;1;SUBVENCOES SOCIAIS;21;COTA ESTADUAL DO SALARIO EDUCACAO - QESE;CX. ESC ZOE MACHADO;19.784.750/0001-20;169040,0
